timestamp,lat,lon,alt,roll_body,pitch_body,yaw_body,roll_speed,pitch_speed,yaw_speed,actuators_output_0,actuators_output_1,actuators_output_2,actuators_output_3,actuators_output_4,actuators_output_5,actuators_output_6,actuators_output_7,actuators_output_8,actuators_output_9,actuators_output_10,actuators_output_11,sensor_gyro_rad_0,sensor_gyro_rad_1,sensor_gyro_rad_2,sensor_acc_0,sensor_acc_1,sensor_acc_2,cpuload
3166562398.0,47.39774530606744,8.54559517794205,31.06908,0.030680168,-0.04786572,0.51071274,-0.114365354,0.048612308,0.010729355,1562.0,1554.0,1590.0,1531.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.098480456,0.08540158,-0.0040931785,0.31473014,0.43663418,-10.008837,0.32366186
3167162397.0,47.39774562228822,8.545593189788773,31.634117,0.05749049,-0.052500423,0.51071274,0.10658495,0.007074835,0.0028809211,1572.0,1528.0,1559.0,1551.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.23064855,-0.12318671,-0.0030643824,0.022513067,-0.32907784,-10.43825,0.33041263
3167562397.0,47.39774641192594,8.545592770457818,32.07478,0.04991242,-0.017412758,0.51071274,-0.096173465,0.10518386,0.005215143,1522.0,1555.0,1543.0,1534.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.056394864,-0.0001308632,-0.01827641,-0.4697152,1.2377818,-8.656969,0.34129202
3168162397.0,47.39774662311368,8.545594516924524,32.75026,0.023161521,-0.019849334,0.51071274,0.06997591,-0.025619198,-0.008107883,1523.0,1590.0,1585.0,1529.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.09941852,-0.055836555,0.056913093,0.18291725,-1.5126867,-10.067165,0.340038
3168562397.0,47.3977464539493,8.545595202680135,33.229958,0.011731227,-0.008900988,0.51071274,0.08641648,0.035046607,-0.04374317,1581.0,1518.0,1538.0,1575.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.007124364,0.020777093,-0.010336838,-0.23884904,-0.6801147,-10.310461,0.34599602
3169162397.0,47.39774636160416,8.545595807513559,33.930347,0.0030106683,-0.01154443,0.51071274,0.037569847,-0.015600998,0.008134474,1585.0,1572.0,1587.0,1545.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.12023343,-0.0065142466,0.0010005586,0.16829836,-0.78453267,-9.810924,0.33192998
3169562396.0,47.3977466568889,8.545595621114026,34.440872,0.018760543,0.00027817063,0.51071274,0.09612326,-0.03493316,-0.015749115,1560.0,1576.0,1598.0,1519.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.30518785,0.104849316,-0.02085972,-0.37359118,1.6396854,-10.050056,0.33200145
3170162397.0,47.39774606626973,8.545598750815426,35.243702,-0.01862863,-0.0010930423,0.51071274,-0.17781565,-0.028219635,-0.015290184,1569.0,1568.0,1583.0,1542.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.08892977,-0.023988385,-0.025656324,-0.13345861,0.6961404,-10.435602,0.3241458
3170562397.0,47.397745949964886,8.545600926856697,35.829865,-0.055927783,0.011094826,0.51071274,-0.12936454,0.031213662,-0.004910893,1515.0,1591.0,1630.0,1493.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0007509709,0.07323851,0.02207232,-0.21327356,-0.056629956,-9.847691,0.33693802
3171162396.0,47.39774662738128,8.545599277203394,36.907475,0.00073710625,0.0024277521,0.51071274,0.051878247,-0.044626065,0.0029587897,1749.0,1704.0,1676.0,1750.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.05303014,-0.016870415,0.0183483,0.19789855,-0.99318486,-12.0835705,0.33569402
3171562397.0,47.39774737097044,8.545597278695027,37.997036,0.017919837,0.0086,0.51071274,0.08715922,-0.008745512,-0.004148329,1656.0,1660.0,1662.0,1647.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.062386878,0.024389895,0.010281285,-0.024198059,-1.0433474,-10.914618,0.325226
3172162396.0,47.397746472801884,8.545596735984738,39.61888,-0.009535227,-0.017302962,0.51071274,-0.19082884,-0.018224603,-0.009835776,1630.0,1644.0,1643.0,1619.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.08022477,-0.10762526,0.015732279,-0.22161639,-1.2183301,-10.561354,0.32122803
3172562397.0,47.39774542485533,8.545597583879704,40.718014,-0.034317125,-0.017782517,0.51071274,-0.112611,0.07390445,0.0037330263,1616.0,1652.0,1645.0,1616.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.021081997,-0.07819834,0.014542577,0.44517052,1.125931,-8.812065,0.320966
3173162397.0,47.39774502816252,8.545598997979006,42.37326,-0.038367882,-0.0023090667,0.51071274,-0.11455064,0.052880585,-0.0069457507,1599.0,1668.0,1702.0,1574.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.026270324,0.038291942,0.014853729,-0.019954938,-2.5297852,-7.57442,0.3341992
3173562396.0,47.39774546698276,8.545599562511017,43.536713,-0.01685509,-0.0023393938,0.51071274,0.17119852,0.034601785,-0.003344706,1676.0,1598.0,1613.0,1638.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.13469626,-0.017782768,-0.017206835,0.21708012,-1.1762841,-8.555197,0.32349312
3174162398.0,47.39774561451779,8.545597882240191,45.239136,0.004254491,-0.0015502779,0.51071274,0.032338835,0.05172003,-0.009813913,1661.0,1619.0,1597.0,1665.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.0550701,0.14093304,0.026617317,-0.16827834,-0.8130152,-10.381056,0.3355217
3174562397.0,47.39774612878769,8.545597322094743,46.377285,0.015736613,0.004417541,0.51071274,0.058662124,0.008509896,0.020427357,1641.0,1650.0,1657.0,1639.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.20920347,-0.010457714,0.027554337,-0.03665802,1.6063377,-11.290501,0.32130802
3175162397.0,47.3977466518619,8.545596444836608,48.136765,0.021433381,0.0018436089,0.51071274,0.11157151,0.057418544,0.014262462,1639.0,1641.0,1621.0,1659.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.16165523,0.11190017,-0.023427391,-0.28850406,-0.9583685,-8.691017,0.33002
3175562397.0,47.39774642586512,8.545595800373796,49.319313,0.0072568506,-0.019717839,0.51071274,0.023580728,-0.022283161,0.013729664,1674.0,1616.0,1636.0,1657.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.015798453,-0.05978267,-0.0037426243,-0.8218685,-1.4937389,-9.138529,0.33423
3176162397.0,47.39774606427172,8.545596948801936,51.114407,-0.025900995,0.0015718718,0.51071274,-0.11659856,0.04977679,0.0032241216,1634.0,1622.0,1646.0,1629.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,-0.09617929,-0.020129625,0.0021936388,-0.49219823,-0.5721115,-10.817081,0.328398
3176562397.0,47.39774682262568,8.545598201544143,52.284576,0.008318677,0.012092064,0.51071274,0.1549898,-0.007972766,0.0062590563,1666.0,1676.0,1712.0,1616.0,1500.0,1500.0,900.0,900.0,1500.0,1500.0,1500.0,1500.0,0.20277746,0.025677344,-0.01067433,-0.39512494,-2.218655,-10.144731,0.32938367
