-182.064, 36.109, 5.802, 14.000
-182.058, 35.526, 5.865, 14.100
-182.052, 34.934, 5.955, 14.200
-182.046, 34.332, 6.063, 14.300
-182.040, 33.719, 6.174, 14.400
-182.034, 33.096, 6.272, 14.500
-182.028, 32.464, 6.345, 14.600
-182.022, 31.827, 6.392, 14.700
-182.016, 31.187, 6.422, 14.800
-182.011, 30.544, 6.449, 14.900
-182.005, 29.897, 6.483, 15.000
-181.999, 29.246, 6.532, 15.100
-181.993, 28.589, 6.601, 15.200
-181.988, 27.924, 6.687, 15.300
-181.982, 27.250, 6.782, 15.400
-181.976, 26.566, 6.874, 15.500
-181.971, 25.874, 6.954, 15.600
-181.965, 25.175, 7.021, 15.700
-181.959, 24.470, 7.077, 15.800
-181.953, 23.760, 7.128, 15.900
-181.948, 23.044, 7.182, 16.000
-181.942, 22.323, 7.243, 16.100
-181.937, 21.594, 7.313, 16.200
-181.931, 20.858, 7.392, 16.300
-181.925, 20.114, 7.476, 16.400
-181.920, 19.362, 7.560, 16.500
-181.914, 18.601, 7.642, 16.600
-181.908, 17.832, 7.720, 16.700
-181.903, 17.056, 7.794, 16.800
-181.897, 16.272, 7.866, 16.900
-181.892, 15.481, 7.938, 17.000
-181.886, 14.683, 8.012, 17.100
-181.880, 13.878, 8.088, 17.200
-181.874, 13.064, 8.168, 17.300
-181.869, 12.242, 8.250, 17.400
-181.863, 11.412, 8.335, 17.500
-181.857, 10.574, 8.421, 17.600
-181.851, 9.727, 8.508, 17.700
-181.846, 8.871, 8.595, 17.800
-181.840, 8.006, 8.681, 17.900
-181.834, 7.133, 8.767, 18.000
-181.828, 6.251, 8.853, 18.100
-181.822, 5.361, 8.940, 18.200
-181.816, 4.462, 9.028, 18.300
-181.810, 3.554, 9.117, 18.400
-181.804, 2.637, 9.207, 18.500
-181.798, 1.711, 9.298, 18.600
-181.792, 0.776, 9.391, 18.700
-181.786, -0.169, 9.485, 18.800
-181.780, -1.123, 9.580, 18.900
-181.774, -2.087, 9.676, 19.000
-181.767, -3.060, 9.772, 19.100
-181.761, -4.043, 9.870, 19.200
-181.755, -5.035, 9.968, 19.300
-181.748, -6.038, 10.067, 19.400
-181.742, -7.051, 10.167, 19.500
-181.735, -8.073, 10.268, 19.600
-181.729, -9.106, 10.369, 19.700
-181.722, -10.149, 10.472, 19.800
-181.716, -11.202, 10.576, 19.900
-181.709, -12.266, 10.680, 20.000
-181.702, -13.340, 10.786, 20.100
-181.695, -14.425, 10.893, 20.200
-181.688, -15.520, 11.001, 20.300
-181.681, -16.627, 11.111, 20.400
-181.674, -17.744, 11.221, 20.500
-181.667, -18.873, 11.332, 20.600
-181.660, -20.013, 11.444, 20.700
-181.652, -21.164, 11.558, 20.800
-181.645, -22.327, 11.674, 20.900
-181.637, -23.501, 11.791, 21.000
-181.630, -24.687, 11.910, 21.100
-181.622, -25.885, 12.031, 21.200
-181.614, -27.095, 12.153, 21.300
-181.607, -28.318, 12.277, 21.400
-181.599, -29.553, 12.402, 21.500
-181.590, -30.800, 12.528, 21.600
-181.582, -32.061, 12.655, 21.700
-181.574, -33.334, 12.783, 21.800
-181.566, -34.619, 12.911, 21.900
-181.557, -35.918, 13.041, 22.000
-181.548, -37.230, 13.171, 22.100
-181.540, -38.554, 13.302, 22.200
-181.531, -39.892, 13.435, 22.300
-181.522, -41.244, 13.568, 22.400
-181.513, -42.608, 13.703, 22.500
-181.503, -43.987, 13.839, 22.600
-181.494, -45.378, 13.976, 22.700
-181.485, -46.784, 14.115, 22.800
-181.475, -48.204, 14.255, 22.900
-181.465, -49.638, 14.396, 23.000
-181.455, -51.086, 14.539, 23.100
-181.445, -52.548, 14.684, 23.200
-181.435, -54.025, 14.830, 23.300
-181.424, -55.517, 14.977, 23.400
-181.414, -57.023, 15.126, 23.500
-181.403, -58.544, 15.277, 23.600
-181.392, -60.081, 15.428, 23.700
-181.381, -61.633, 15.581, 23.800
-181.370, -63.200, 15.736, 23.900
-181.358, -64.783, 15.892, 24.000
-181.347, -66.381, 16.049, 24.100
-181.335, -67.995, 16.208, 24.200
-181.323, -69.625, 16.368, 24.300
-181.311, -71.272, 16.529, 24.400
-181.298, -72.934, 16.692, 24.500
-181.286, -74.613, 16.856, 24.600
-181.273, -76.308, 17.022, 24.700
-181.260, -78.020, 17.189, 24.800
-181.246, -79.749, 17.358, 24.900
-181.233, -81.495, 17.528, 25.000
-181.219, -83.257, 17.699, 25.100
-181.205, -85.038, 17.872, 25.200
-181.191, -86.835, 18.047, 25.300
-181.176, -88.650, 18.222, 25.400
-181.161, -90.482, 18.393, 25.500
-181.146, -92.330, 18.544, 25.600
-181.131, -94.191, 18.646, 25.700
-181.116, -96.056, 18.655, 25.800
-181.100, -97.913, 18.524, 25.900
-181.085, -99.748, 18.256, 26.000
-181.069, -101.551, 17.898, 26.100
-181.054, -103.315, 17.507, 26.200
-181.038, -105.042, 17.128, 26.300
-181.023, -106.734, 16.800, 26.400
-181.008, -108.399, 16.553, 26.500
-180.993, -110.046, 16.400, 26.600
-180.978, -111.683, 16.332, 26.700
-180.963, -113.317, 16.335, 26.800
-180.947, -114.955, 16.391, 26.900
-180.932, -116.601, 16.486, 27.000
-180.916, -118.258, 16.607, 27.100
-180.900, -119.928, 16.740, 27.200
-180.884, -121.610, 16.873, 27.300
-180.868, -123.304, 16.984, 27.400
-180.851, -125.007, 17.043, 27.500
-180.835, -126.709, 17.010, 27.600
-180.818, -128.401, 16.859, 27.700
-180.801, -130.070, 16.604, 27.800
-180.784, -131.710, 16.290, 27.900
-180.768, -133.319, 15.968, 28.000
-180.751, -134.897, 15.680, 28.100
-180.735, -136.451, 15.458, 28.200
-180.718, -137.989, 15.313, 28.300
-180.702, -139.516, 15.242, 28.400
-180.685, -141.041, 15.233, 28.500
-180.668, -142.568, 15.271, 28.600
-180.651, -144.100, 15.339, 28.700
-180.634, -145.639, 15.422, 28.800
-180.616, -147.187, 15.501, 28.900
-180.599, -148.741, 15.554, 29.000
-180.581, -150.296, 15.555, 29.100
-180.562, -151.847, 15.482, 29.200
-180.544, -153.386, 15.331, 29.300
-180.526, -154.906, 15.121, 29.400
-180.507, -156.403, 14.886, 29.500
-180.489, -157.877, 14.661, 29.600
-180.471, -159.331, 14.474, 29.700
-180.452, -160.770, 14.338, 29.800
-180.434, -162.199, 14.257, 29.900
-180.415, -163.624, 14.226, 30.000
-180.396, -165.047, 14.231, 30.100
-180.376, -166.473, 14.260, 30.200
-180.356, -167.901, 14.295, 30.300
-180.336, -169.333, 14.320, 30.400
-180.315, -170.765, 14.317, 30.500
-180.293, -172.194, 14.270, 30.600
-180.271, -173.615, 14.174, 30.700
-180.249, -175.023, 14.036, 30.800
-180.226, -176.417, 13.874, 30.900
-180.201, -177.793, 13.710, 31.000
-180.172, -179.155, 13.562, 31.100
-180.139, -180.504, 13.446, 31.200
-180.096, -181.843, 13.364, 31.300
-180.043, -183.175, 13.317, 31.400
-179.977, -184.505, 13.296, 31.500
-179.895, -185.832, 13.289, 31.600
-179.795, -187.157, 13.287, 31.700
-179.676, -188.480, 13.278, 31.800
-179.538, -189.799, 13.249, 31.900
-179.377, -191.110, 13.192, 32.000
-179.194, -192.411, 13.109, 32.100
-178.989, -193.699, 13.005, 32.200
-178.760, -194.971, 12.887, 32.300
-178.508, -196.227, 12.772, 32.400
-178.235, -197.468, 12.670, 32.500
-177.944, -198.696, 12.605, 32.600
-177.630, -199.916, 12.595, 32.700
-177.296, -201.133, 12.645, 32.800
-176.941, -202.353, 12.746, 32.900
-176.563, -203.580, 12.884, 33.000
-176.164, -204.815, 13.054, 33.100
-175.742, -206.063, 13.248, 33.200
-175.297, -207.325, 13.456, 33.300
-174.830, -208.600, 13.676, 33.400
-174.340, -209.892, 13.905, 33.500
-173.826, -211.199, 14.135, 33.600
-173.290, -212.521, 14.367, 33.700
-172.729, -213.858, 14.596, 33.800
-172.145, -215.211, 14.820, 33.900
-171.538, -216.576, 15.035, 34.000
-170.909, -217.954, 15.240, 34.100
-170.257, -219.344, 15.433, 34.200
-169.584, -220.745, 15.611, 34.300
-168.892, -222.154, 15.774, 34.400
-168.181, -223.571, 15.922, 34.500
-167.452, -224.996, 16.057, 34.600
-166.707, -226.425, 16.181, 34.700
-165.945, -227.861, 16.299, 34.800
-165.169, -229.301, 16.413, 34.900
-164.378, -230.747, 16.529, 35.000
-163.574, -232.198, 16.648, 35.100
-162.756, -233.657, 16.773, 35.200
-161.926, -235.123, 16.906, 35.300
-161.082, -236.597, 17.046, 35.400
-160.226, -238.082, 17.195, 35.500
-159.358, -239.577, 17.352, 35.600
-158.479, -241.084, 17.515, 35.700
-157.589, -242.604, 17.685, 35.800
-156.688, -244.138, 17.861, 35.900
-155.779, -245.688, 18.042, 36.000
-154.862, -247.254, 18.226, 36.100
-153.939, -248.839, 18.414, 36.200
-153.013, -250.444, 18.604, 36.300
-152.089, -252.071, 18.794, 36.400
-151.168, -253.722, 18.986, 36.500
-150.252, -255.398, 19.176, 36.600
-149.346, -257.101, 19.356, 36.700
-148.455, -258.829, 19.509, 36.800
-147.584, -260.581, 19.611, 36.900
-146.741, -262.352, 19.621, 37.000
-145.933, -264.132, 19.499, 37.100
-145.168, -265.908, 19.261, 37.200
-144.450, -267.674, 18.968, 37.300
-143.780, -269.427, 18.670, 37.400
-143.156, -271.169, 18.409, 37.500
-142.573, -272.902, 18.220, 37.600
-142.026, -274.633, 18.116, 37.700
-141.511, -276.369, 18.084, 37.800
-141.024, -278.112, 18.110, 37.900
-140.563, -279.869, 18.180, 38.000
-140.126, -281.641, 18.287, 38.100
-139.711, -283.430, 18.419, 38.200
-139.319, -285.239, 18.570, 38.300
-138.948, -287.069, 18.734, 38.400
-138.601, -288.921, 18.903, 38.500
-138.279, -290.793, 19.068, 38.600
-137.979, -292.685, 19.212, 38.700
-137.703, -294.592, 19.303, 38.800
-137.453, -296.505, 19.289, 38.900
-137.230, -298.410, 19.122, 39.000
-137.036, -300.292, 18.804, 39.100
-136.873, -302.138, 18.390, 39.200
-136.740, -303.943, 17.937, 39.300
-136.638, -305.706, 17.491, 39.400
-136.566, -307.428, 17.087, 39.500
-136.521, -309.116, 16.758, 39.600
-136.501, -310.779, 16.529, 39.700
-136.506, -312.425, 16.400, 39.800
-136.533, -314.063, 16.359, 39.900
-136.583, -315.701, 16.385, 40.000
-136.658, -317.343, 16.463, 40.100
-136.756, -318.995, 16.579, 40.200
-136.880, -320.657, 16.723, 40.300
-137.033, -322.333, 16.884, 40.400
-137.215, -324.022, 17.057, 40.500
-137.428, -325.725, 17.230, 40.600
